0.00	0.98
0.13	0.98
0.24	0.98
0.34	0.98
0.44	0.97
0.52	0.92
0.59	0.86
0.66	0.81
0.72	0.79
0.77	0.76
0.82	0.73
0.87	0.69
0.91	0.64
0.94	0.59
0.97	0.46
1.00	0.40

